#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99972	90239	90.27	331	0.33	788	0.79	64	0.06	8550	8.55
Mouse	99972	90988	91.01	206	0.21	231	0.23	1322	1.32	7225	7.23
Yeast(sC)	99972	96442	96.48	0	0.00	4	0.00	4	0.00	3522	3.52
Yeast(p)	99972	96500	96.53	1	0.00	0	0.00	2	0.00	3469	3.47
Drosophila	99972	96385	96.41	1	0.00	27	0.03	39	0.04	3520	3.52
Acholeplasma_laidlawii	99972	99921	99.95	0	0.00	0	0.00	47	0.05	4	0.00
Mycoplasma_hominis	99972	99967	99.99	0	0.00	0	0.00	0	0.00	5	0.01
Mycoplasma_hyorhinis	99972	99966	99.99	0	0.00	0	0.00	6	0.01	0	0.00
Mycoplasma_pneumoniae	99972	99971	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Ecoli	99972	85486	85.51	13598	13.60	672	0.67	96	0.10	120	0.12
PhiX	99972	99968	100.00	4	0.00	0	0.00	0	0.00	0	0.00
Vectors	99972	98968	99.00	96	0.10	264	0.26	312	0.31	332	0.33
Adapters	99972	99971	100.00	0	0.00	0	0.00	1	0.00	0	0.00

%Hit_no_genomes: 74.97
