#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99991	96321	96.33	128	0.13	314	0.31	91	0.09	3137	3.14
Mouse	99991	96534	96.54	123	0.12	111	0.11	508	0.51	2715	2.72
Yeast(sC)	99991	99096	99.11	0	0.00	3	0.00	12	0.01	880	0.88
Yeast(p)	99991	99128	99.13	0	0.00	0	0.00	8	0.01	855	0.86
Drosophila	99991	98878	98.88	1	0.00	6	0.01	48	0.05	1058	1.06
Acholeplasma_laidlawii	99991	99977	99.99	0	0.00	0	0.00	12	0.01	2	0.00
Mycoplasma_hominis	99991	99989	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Mycoplasma_hyorhinis	99991	99986	100.00	0	0.00	0	0.00	3	0.00	2	0.00
Mycoplasma_pneumoniae	99991	99989	100.00	0	0.00	0	0.00	2	0.00	0	0.00
Ecoli	99991	96058	96.07	3703	3.70	184	0.18	17	0.02	29	0.03
PhiX	99991	99991	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99991	99508	99.51	48	0.05	57	0.06	186	0.19	192	0.19
Adapters	99991	99916	99.93	2	0.00	0	0.00	0	0.00	73	0.07

%Hit_no_genomes: 91.95
