kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	54187429
1	10125
2	3146
3	1573
4	1228
5	1126
6	1167
7	1287
8	1215
9	1245
10	1224
11	1247
12	1176
13	1393
14	1308
15	1336
16	1330
17	1311
18	1125
19	1152
20	1168
21	1246
22	1075
23	1088
24	1072
25	1003
26	1021
27	1001
28	940
29	965
30	909
31	965
32	906
33	864
34	865
35	898
36	820
37	839
38	763
39	747
40	807
41	814
42	675
43	708
44	615
45	610
46	615
47	527
48	535
49	472
50	473
51	420
52	371
53	418
54	330
55	327
56	270
57	239
58	241
59	187
60	222
61	196
62	184
63	140
64	134
65	169
66	138
67	77
68	67
69	63
70	58
71	33
72	55
73	23
74	35
75	40
76	41
77	25
78	11
79	17
80	21
81	8
82	9
83	9
84	9
85	8
86	3
87	2
88	7
