## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK007_centromeric_FLD.pdf HISTOGRAM_WIDTH=1000 INPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_4_bam_markduplicates/atacHAK007/atacHAK007_centromere.bam OUTPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK007_centromeric_insertdata.txt VERBOSITY=ERROR QUIET=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 27 14:20:46 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
79	43	32	23	2000	140.898236	186.887208	121482	FR	15	29	41	53	65	75	119	489	2049	2931	3733			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
23	8
24	7
25	10
26	33
27	68
28	79
29	75
30	103
31	94
32	187
33	230
34	285
35	376
36	495
37	539
38	655
39	862
40	1239
41	1485
42	1861
43	2227
44	2216
45	2223
46	1795
47	1616
48	1272
49	1421
50	1482
51	1673
52	1988
53	2167
54	2146
55	2152
56	1580
57	1486
58	1182
59	1170
60	1306
61	1339
62	1424
63	1584
64	1653
65	1535
66	1396
67	1066
68	971
69	790
70	882
71	1009
72	1113
73	1252
74	1140
75	1006
76	1092
77	841
78	807
79	716
80	652
81	683
82	732
83	917
84	862
85	892
86	727
87	727
88	613
89	631
90	642
91	568
92	564
93	585
94	535
95	727
96	620
97	770
98	424
99	429
100	410
101	410
102	512
103	472
104	452
105	424
106	398
107	386
108	352
109	383
110	266
111	240
112	276
113	278
114	316
115	271
116	302
117	249
118	287
119	263
120	225
121	203
122	199
123	192
124	213
125	189
126	195
127	180
128	204
129	184
130	140
131	157
132	136
133	172
134	165
135	172
136	149
137	196
138	167
139	150
140	140
141	104
142	130
143	113
144	118
145	134
146	115
147	135
148	116
149	121
150	127
151	120
152	148
153	107
154	130
155	95
156	107
157	101
158	108
159	105
160	103
161	108
162	122
163	94
164	113
165	97
166	146
167	158
168	113
169	113
170	105
171	120
172	87
173	120
174	97
175	130
176	137
177	153
178	126
179	124
180	95
181	118
182	105
183	215
184	121
185	141
186	114
187	130
188	122
189	119
190	109
191	97
192	85
193	96
194	82
195	99
196	77
197	63
198	69
199	77
200	73
201	66
202	93
203	78
204	77
205	71
206	83
207	91
208	86
209	57
210	60
211	91
212	90
213	61
214	69
215	90
216	80
217	93
218	74
219	87
220	79
221	70
222	66
223	72
224	70
225	65
226	66
227	82
228	84
229	77
230	54
231	84
232	53
233	49
234	67
235	56
236	56
237	57
238	58
239	56
240	73
241	50
242	42
243	43
244	38
245	39
246	51
247	49
248	67
249	25
250	49
251	40
252	43
253	39
254	24
255	34
256	31
257	28
258	42
259	31
260	33
261	37
262	33
263	35
264	33
265	32
266	37
267	30
268	25
269	39
270	34
271	24
272	30
273	31
274	31
275	19
276	28
277	29
278	22
279	13
280	26
281	18
282	23
283	23
284	17
285	19
286	17
287	20
288	18
289	18
290	24
291	24
292	13
293	15
294	23
295	18
296	11
297	10
298	13
299	18
300	17
301	20
302	17
303	14
304	19
305	26
306	17
307	12
308	24
309	18
310	16
311	9
312	18
313	12
314	18
315	11
316	17
317	9
318	12
319	17
320	16
321	18
322	13
323	12
324	8
325	19
326	21
327	11
328	9
329	10
330	8
331	13
332	6
333	9
334	17
335	11
336	11
337	10
338	6
339	16
340	9
341	9
342	5
343	11
344	11
345	15
346	11
347	10
348	8
349	14
350	13
351	13
352	12
353	9
354	10
