## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK007_noncentromeric_FLD.pdf HISTOGRAM_WIDTH=1000 INPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_4_bam_markduplicates/atacHAK007/atacHAK007_noncentromere.bam OUTPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK007_noncentromeric_insertdata.txt VERBOSITY=ERROR QUIET=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 27 14:20:53 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
63	44	18	23	2000	85.477429	83.693236	54556849	FR	7	15	21	29	37	43	51	75	191	321	1925			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
23	754
24	2542
25	7556
26	27431
27	47902
28	66286
29	74675
30	76454
31	87709
32	127195
33	167930
34	202184
35	287758
36	389813
37	432722
38	485408
39	617855
40	809639
41	1065133
42	1333143
43	1570386
44	1605141
45	1446402
46	1163170
47	927663
48	792579
49	808142
50	900174
51	1051898
52	1199170
53	1304650
54	1312982
55	1207322
56	1008804
57	820755
58	685852
59	649628
60	680754
61	761740
62	840680
63	908329
64	922519
65	876500
66	761926
67	636162
68	530345
69	488511
70	484157
71	526646
72	571612
73	614234
74	625182
75	609661
76	549090
77	479497
78	401336
79	360531
80	344184
81	361012
82	385683
83	413034
84	425604
85	421109
86	388117
87	348057
88	297235
89	264684
90	247662
91	249616
92	259535
93	277888
94	286742
95	286751
96	269816
97	246914
98	216173
99	195712
100	177238
101	174154
102	177022
103	186959
104	192588
105	194141
106	187072
107	175795
108	157701
109	142461
110	128507
111	124487
112	122219
113	127374
114	130097
115	133746
116	129642
117	125789
118	114236
119	105347
120	94519
121	90230
122	86878
123	89107
124	91921
125	94850
126	92199
127	90367
128	85436
129	79436
130	71224
131	67812
132	64571
133	64251
134	64858
135	67056
136	68257
137	71473
138	73057
139	67803
140	58469
141	54079
142	49918
143	48554
144	48242
145	49502
146	50243
147	51972
148	53302
149	53625
150	53676
151	54226
152	50094
153	45456
154	42416
155	42645
156	43030
157	45551
158	46953
159	47879
160	45664
161	43784
162	41275
163	41034
164	42216
165	46607
166	51746
167	58171
168	58038
169	54577
170	47123
171	43049
172	41099
173	41122
174	44835
175	50804
176	56719
177	60432
178	58288
179	53028
180	46347
181	42398
182	39106
183	39068
184	40105
185	43370
186	46637
187	49245
188	48346
189	46829
190	43137
191	41076
192	39235
193	39033
194	39885
195	42144
196	43404
197	44261
198	43063
199	41782
200	39515
201	38383
202	37487
203	38354
204	38856
205	39961
206	40561
207	40539
208	39268
209	37596
210	35566
211	34748
212	33702
213	34319
214	34943
215	35412
216	35395
217	35124
218	33940
219	32868
220	30627
221	29711
222	28608
223	28752
224	28852
225	29338
226	28746
227	28686
228	27646
229	26889
230	25325
231	24677
232	23882
233	23699
234	23267
235	23384
236	22757
237	22931
238	22082
239	21550
240	20474
241	19874
242	19125
243	18813
244	18374
245	18301
246	18019
247	17694
248	17140
249	16778
250	16096
251	15746
252	15060
253	14654
254	14451
255	14147
256	14129
257	13947
258	13518
259	13109
260	12671
261	12353
262	11904
263	11460
264	11354
265	11267
266	10892
267	11066
268	10672
269	10597
270	9993
271	9953
272	9224
273	9450
274	8924
275	9033
276	8799
277	8754
278	8526
279	8745
280	8282
281	8123
282	7872
283	7745
284	7413
285	7300
286	7195
287	7280
288	6847
289	7044
290	6852
291	6805
292	6580
293	6476
294	6225
295	6125
296	6128
297	6220
298	5918
299	6086
300	5662
301	5895
302	5657
303	5624
304	5352
305	5487
306	5235
307	5394
308	5102
309	5145
310	5020
311	5140
312	4963
313	5089
314	4732
315	4762
316	4832
317	4756
318	4587
319	4650
320	4664
321	4705
322	4580
323	4373
324	4509
325	4322
326	4126
327	4302
328	4102
329	4319
330	4059
331	4230
332	4030
333	4093
334	4053
335	3895
336	3980
337	3884
338	3832
339	3829
340	3721
341	3838
342	3706
343	3668
344	3608
345	3799
346	3665
347	3698
348	3574
349	3716
350	3481
351	3708
352	3533
353	3645
354	3628
355	3584
356	3521
357	3529
358	3501
359	3531
360	3401
361	3536
362	3377
363	3472
364	3476
365	3363
366	3312
367	3439
368	3266
369	3342
370	3335
371	3367
372	3052
373	3295
374	3159
375	3159
376	3152
377	3117
378	3120
379	3220
380	3133
381	3183
382	2952
383	3243
384	2978
385	2941
386	2943
387	3062
388	2888
389	3025
390	2800
391	2915
392	2811
393	2847
394	2858
395	2915
396	2660
397	2826
398	2744
399	2952
400	2737
401	2668
402	2692
403	2568
404	2706
405	2709
406	2520
407	2706
408	2590
409	2549
410	2551
411	2550
412	2559
413	2580
414	2621
415	2511
416	2495
417	2541
418	2454
419	2497
420	2317
421	2404
422	2397
423	2403
424	2387
425	2522
426	2216
427	2469
428	2381
429	2353
430	2278
431	2311
432	2357
433	2382
434	2311
435	2342
436	2324
437	2294
438	2425
439	2356
440	2196
441	2302
442	2079
443	2249
444	2175
445	2104
446	2162
447	2152
448	2038
449	2176
450	2056
451	1991
452	1842
453	1937
454	1892
455	1905
456	1901
457	1987
458	1818
459	1916
460	1656
461	1845
462	1799
463	1734
464	1828
465	1766
466	1732
467	1723
468	1690
469	1783
470	1657
471	1660
472	1585
473	1596
474	1615
475	1568
476	1551
477	1647
478	1521
479	1488
480	1457
481	1451
482	1446
483	1435
484	1472
485	1448
486	1492
487	1369
488	1242
489	1511
490	1351
491	1405
492	1351
493	1390
494	1402
495	1348
496	1340
497	1295
498	1238
499	1362
500	1336
501	1431
502	1294
503	1377
504	1302
505	1320
506	1238
507	1342
508	1283
509	1388
510	1246
511	1381
512	1339
513	1415
514	1337
515	1417
516	1278
517	1323
518	1281
519	1395
520	1393
521	1429
522	1387
523	1428
524	1379
525	1454
526	1367
527	1471
528	1355
529	1386
530	1480
531	1445
532	1459
533	1384
534	1392
535	1440
536	1323
537	1387
538	1282
539	1331
540	1268
541	1348
542	1307
543	1374
544	1288
545	1334
546	1202
547	1384
548	1215
549	1341
550	1242
551	1267
552	1262
553	1270
554	1207
555	1185
556	1135
557	1255
558	1144
559	1239
560	1144
561	1158
562	1129
563	1075
564	1121
565	1101
566	1146
567	1178
568	1115
569	1118
570	1142
571	1162
572	1084
573	1123
574	1064
575	1051
576	1053
577	1062
578	1053
579	1096
580	1057
581	1091
582	1053
583	1107
584	1070
585	1078
586	1051
587	1081
588	1001
589	1083
590	1017
591	973
592	1061
593	1026
594	1084
595	1074
596	1082
597	1007
598	1072
599	1041
600	1019
601	1101
602	1052
603	1066
604	1071
605	1099
606	1091
607	1072
608	1016
609	1104
610	1021
611	1068
612	1021
613	990
614	967
615	995
616	951
617	953
618	956
619	1018
620	925
621	966
622	950
623	979
624	892
625	923
626	875
627	923
628	907
629	923
630	851
631	908
632	792
633	881
634	867
635	920
636	890
637	939
638	849
639	869
640	819
641	876
642	775
643	837
644	787
645	782
646	780
647	822
648	744
649	793
650	727
651	763
652	704
653	803
654	783
655	807
656	725
657	784
658	766
659	824
660	798
661	747
662	769
663	803
664	744
665	837
666	735
667	830
668	753
669	807
670	833
671	797
672	715
673	790
674	744
675	783
676	723
677	757
678	730
679	755
680	771
681	774
682	684
683	768
684	764
685	765
686	702
687	729
688	734
689	759
690	725
691	792
692	709
693	768
694	713
695	732
696	777
697	779
698	719
699	735
700	737
701	756
702	754
703	721
704	737
705	657
706	800
707	772
708	713
709	762
710	717
711	812
712	700
713	727
714	688
715	690
716	716
717	723
718	698
719	728
720	705
721	715
722	650
723	743
724	646
725	674
726	707
727	686
728	697
729	734
730	664
731	659
732	640
733	702
734	659
735	694
736	671
737	681
738	699
739	720
740	689
741	654
742	689
743	722
744	776
745	754
746	764
747	798
748	765
749	766
750	803
751	822
752	744
753	808
754	789
755	847
756	779
757	780
758	837
759	819
760	791
761	855
762	853
763	879
764	799
765	942
766	862
767	883
768	902
769	948
770	921
771	987
772	998
773	1017
774	997
775	1158
776	1104
777	1211
778	1228
779	1236
780	1302
781	1431
782	1352
783	1390
784	1393
785	1496
786	1529
787	1609
788	1651
789	1665
790	1505
791	1559
792	1536
793	1442
794	1412
795	1370
796	1386
797	1498
798	1402
799	1520
800	1430
801	1430
802	1390
803	1411
804	1261
805	1276
806	1300
807	1347
808	1316
809	1394
810	1297
811	1362
812	1265
813	1263
814	1203
815	1243
816	1254
817	1225
818	1223
819	1247
820	1174
821	1189
822	1183
823	1173
824	1142
825	1176
826	1142
827	1167
828	1133
829	1183
830	1115
831	1186
832	1107
833	1088
834	1045
835	1084
836	1064
837	1078
838	1054
839	1112
840	1005
841	1070
842	1053
843	1071
844	1027
845	1047
846	929
847	1026
848	989
849	1037
850	970
851	1035
852	974
853	1010
854	940
855	968
856	971
857	977
858	944
859	1018
860	991
861	1007
862	980
863	980
864	1027
865	971
866	1007
867	1018
868	930
869	936
870	967
871	956
872	967
873	913
874	922
875	983
876	918
877	921
878	906
