## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK025_allreads_FLD.pdf HISTOGRAM_WIDTH=1000 INPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_4_bam_markduplicates/atacHAK025/atacHAK025_markdups_final.bam OUTPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK025_allreads_insertdata.txt VERBOSITY=ERROR QUIET=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 27 15:52:26 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
128	44	77	23	2000	181.047558	168.289551	74899726	FR	53	91	119	139	155	169	185	305	665	1027	2779			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
23	1615
24	2822
25	6470
26	17874
27	32614
28	44051
29	47663
30	47854
31	54550
32	78491
33	113609
34	159930
35	250482
36	365032
37	428246
38	473680
39	571677
40	700448
41	876941
42	1055404
43	1211568
44	1213873
45	1092306
46	886693
47	725118
48	628988
49	641973
50	700713
51	802197
52	897443
53	957373
54	942301
55	848198
56	703553
57	576905
58	486905
59	469546
60	488184
61	541942
62	590413
63	630376
64	632684
65	592171
66	512773
67	434959
68	371055
69	350600
70	349414
71	377947
72	408467
73	434853
74	439420
75	426856
76	386478
77	346220
78	300757
79	279779
80	270326
81	281463
82	297118
83	315121
84	321331
85	320635
86	298452
87	276944
88	245601
89	226761
90	216281
91	218191
92	224238
93	237227
94	241902
95	243551
96	233081
97	220742
98	199479
99	187619
100	174180
101	173557
102	176780
103	184498
104	187273
105	189436
106	185636
107	179078
108	167709
109	157226
110	146899
111	144287
112	142036
113	147047
114	149908
115	153614
116	152213
117	150940
118	146615
119	136945
120	126879
121	123913
122	121332
123	122492
124	124493
125	129955
126	130385
127	131599
128	133323
129	127180
130	123060
131	128812
132	121812
133	112675
134	107678
135	112159
136	115337
137	130031
138	143516
139	139181
140	130488
141	131981
142	123208
143	109364
144	102315
145	102902
146	107411
147	117834
148	131098
149	149025
150	186211
151	226470
152	224289
153	174987
154	134816
155	124912
156	126177
157	132082
158	139228
159	145128
160	144931
161	148781
162	148132
163	150180
164	157538
165	173112
166	191700
167	209687
168	211136
169	197466
170	177134
171	167771
172	163723
173	169796
174	182563
175	206612
176	230188
177	240637
178	229732
179	210398
180	188994
181	180407
182	175976
183	181767
184	187538
185	201584
186	212212
187	218993
188	215714
189	206283
190	196756
191	190570
192	188081
193	192202
194	197608
195	205517
196	209778
197	212624
198	208635
199	204037
200	197800
201	195966
202	196881
203	202053
204	207436
205	214433
206	216147
207	213791
208	206435
209	198322
210	191651
211	189162
212	191213
213	197412
214	200908
215	206456
216	206012
217	203991
218	195438
219	186925
220	178410
221	174101
222	172737
223	176567
224	178175
225	180853
226	181336
227	176826
228	169634
229	162839
230	155123
231	151209
232	147920
233	147972
234	148490
235	149504
236	147252
237	144758
238	138021
239	132942
240	126674
241	122558
242	119615
243	118284
244	116899
245	116191
246	114478
247	111980
248	108410
249	104611
250	99701
251	96293
252	93336
253	91500
254	90273
255	89263
256	87235
257	85819
258	83358
259	81355
260	78006
261	75719
262	72938
263	71958
264	70625
265	70075
266	68359
267	67477
268	65848
269	65013
270	62631
271	61391
272	59326
273	58478
274	57831
275	56442
276	56179
277	55495
278	54242
279	54225
280	52408
281	51783
282	50071
283	49530
284	48965
285	48192
286	47480
287	47277
288	47076
289	47110
290	46180
291	46038
292	45022
293	44283
294	43398
295	42188
296	42327
297	42332
298	42919
299	43113
300	43006
301	42607
302	42179
303	41138
304	39785
305	39694
306	39248
307	39569
308	39542
309	40397
310	39562
311	40861
312	40063
313	39950
314	38687
315	38729
316	38114
317	38065
318	38198
319	39013
320	39277
321	40364
322	39281
323	39699
324	38914
325	38325
326	37628
327	38190
328	38165
329	38583
330	39262
331	39740
332	39813
333	39999
334	39721
335	39301
336	38855
337	38606
338	38835
339	39540
340	39288
341	40339
342	40984
343	41112
344	41153
345	41260
346	40693
347	41159
348	40302
349	41170
350	41445
351	41770
352	42194
353	42855
354	42496
355	43267
356	43134
357	43857
358	43030
359	43854
360	43025
361	43465
362	43549
363	43945
364	44286
365	44653
366	44645
367	44945
368	44936
369	45138
370	44833
371	45084
372	44487
373	44920
374	45576
375	45639
376	46072
377	46526
378	46793
379	46471
380	46236
381	46756
382	46392
383	46418
384	46623
385	46733
386	47203
387	47048
388	47353
389	47383
390	47112
391	47566
392	46995
393	47258
394	46917
395	46975
396	46965
397	47344
398	47341
399	47528
400	47417
401	47245
402	46901
403	46710
404	46496
405	46411
406	46116
407	46280
408	46167
409	46067
410	45628
411	45219
412	45091
