Filename,LineCount
nonredundant_masterpeaks_IDR.900000.0.1.bed,426382
masterpeaks.narrowPeak,3630959
masterpeaks_IDR.600000.0.1.sorted.narrowPeak,750776
Interphase_IDR_12_0.5.tn5.narrowPeak,259879
Interphase_IDR_12.tn5.narrowPeak,259879
Interphase_IDR_final_900000.0.1.tn5.narrowPeak,765033
Interphase_IDR_23.tn5.narrowPeak,246341
Interphase_IDR_12_900000.0.1.tn5.narrowPeak,816934
Interphase_Rep1.tn5_peaks.narrowPeak,1672578
Interphase_Rep2.tn5_peaks.narrowPeak,1512999
Interphase_Rep1.tn5_summits.bed,1672578
Interphase_IDR_23_900000.0.1.tn5.narrowPeak,783951
Interphase_Rep3.tn5_summits.bed,1628458
Interphase_IDR_final_600000.0.1.tn5.narrowPeak,498150
Interphase_pool.tn5_peaks.narrowPeak,1803333
Interphase_IDR_final.tn5.narrowPeak,239430
Interphase_IDR_23_0.5.tn5.narrowPeak,246341
Interphase_Rep3.tn5_peaks.narrowPeak,1628458
Interphase_pool.tn5_summits.bed,1803333
Interphase_IDR_12_600000.0.1.tn5.narrowPeak,535682
Interphase_IDR_final_0.5.tn5.narrowPeak,239430
Interphase_IDR_23_600000.0.1.tn5.narrowPeak,511557
Interphase_Rep2.tn5_summits.bed,1512999
Mitosis_IDR_23.tn5.narrowPeak,260743
Mitosis_Rep3.tn5_summits.bed,1697336
Mitosis_IDR_final_900000.0.1.tn5.narrowPeak,779918
Mitosis_IDR_final_0.5.tn5.narrowPeak,251154
Mitosis_pool.tn5_peaks.narrowPeak,1827626
Mitosis_IDR_final.tn5.narrowPeak,251154
Mitosis_Rep2.tn5_peaks.narrowPeak,1532386
Mitosis_Rep1.tn5_peaks.narrowPeak,1643941
Mitosis_Rep2.tn5_summits.bed,1532386
Mitosis_IDR_12_0.5.tn5.narrowPeak,258524
Mitosis_IDR_12_600000.0.1.tn5.narrowPeak,527469
Mitosis_pool.tn5_summits.bed,1827626
Mitosis_IDR_12_900000.0.1.tn5.narrowPeak,799166
Mitosis_IDR_23_0.5.tn5.narrowPeak,260743
Mitosis_IDR_final_600000.0.1.tn5.narrowPeak,513905
Mitosis_Rep3.tn5_peaks.narrowPeak,1697336
