Sample,ReadsinPeaks,NonOverlappingReads,AmbiguousReads,FRIP
atacHAK001_allOverlaps,323149673,271208972,0,0.543695
atacHAK001,308656225,271208972,14493448,0.51931
atacHAK001_largestOverlap,317427335,271208972,5722338,0.534067
atacHAK002_allOverlaps,345082879,299959201,0,0.534977
atacHAK002,328197510,299959201,16885369,0.5088
atacHAK002_largestOverlap,340270306,299959201,4812573,0.527516
atacHAK007_allOverlaps,302019392,229754139,0,0.567947
atacHAK007,291276583,229754139,10742809,0.547746
atacHAK007_largestOverlap,297426464,229754139,4592928,0.55931
atacHAK023_allOverlaps,272257256,229783274,0,0.542301
atacHAK023,259299142,229783274,12958114,0.51649
atacHAK023_largestOverlap,267752749,229783274,4504507,0.533329
atacHAK024_allOverlaps,189425501,169981842,0,0.52705
atacHAK024,179902804,169981842,9522697,0.500554
atacHAK024_largestOverlap,186705477,169981842,2720024,0.519482
atacHAK025_allOverlaps,407143931,352687167,0,0.535835
atacHAK025,386837077,352687167,20306854,0.509109
atacHAK025_largestOverlap,401409126,352687167,5734805,0.528287
atacHAK001_allOverlaps,594358645,0,0,1
atacHAK002_allOverlaps,645042080,0,0,1
atacHAK007_allOverlaps,531773531,0,0,1
atacHAK023_allOverlaps,502040530,0,0,1
atacHAK024_allOverlaps,359407343,0,0,1
atacHAK025_allOverlaps,759831098,0,0,1
