kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	81070383
1	1952
2	1752
3	1917
4	1716
5	1895
6	1764
7	1632
8	1538
9	1585
10	1508
11	1361
12	1294
13	1179
14	1092
15	977
16	844
17	838
18	724
19	813
20	667
21	585
22	594
23	512
24	553
25	465
26	391
27	403
28	385
29	331
30	305
31	292
32	304
33	262
34	234
35	261
36	220
37	186
38	192
39	177
40	121
41	149
42	190
43	165
44	134
45	105
46	69
47	101
48	73
49	90
50	67
51	53
52	36
53	43
54	68
55	29
56	25
57	34
58	18
59	23
60	18
61	14
62	13
63	20
64	6
65	11
66	7
67	3
68	2
69	7
70	8
71	9
72	3
73	10
75	4
76	5
77	3
78	3
