"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Chr7L:704680-704934",158.183675482607,1.17184588240153,0.246588380227707,4.75223480246481,2.01180548768659e-06,0.0220104094137211
"Chr2L:183275747-183276059",134.710851674409,1.03581841124583,0.200280724553459,5.17183275402695,2.31809021108157e-07,0.00541042255266439
"Chr3S:52447421-52447626",126.415031533496,0.957430593702608,0.202774684601827,4.72164755468683,2.33941817336446e-06,0.0241669059299053
"Chr7L:11082643-11083131",269.802060925082,0.93605955419552,0.15441183082564,6.06209737421293,1.34357826261208e-09,0.000129028387015154
"Chr7L:136671259-136672088",471.758630520856,0.914792711409647,0.164678203242561,5.55503213781251,2.77560688903636e-08,0.00121467496481454
"Chr8L:113572044-113572897",353.5003550236,0.875063074081274,0.153494366983397,5.70094584758233,1.191444836163e-08,0.000595892624486664
"Chr7L:17002969-17003552",267.729223688812,0.846159716901688,0.156655347452476,5.40140972307622,6.61192121566817e-08,0.00216870442950984
"Chr7L:15460775-15461132",208.539755736486,0.846158113752972,0.183130632115372,4.62051653499396,3.82785833636643e-06,0.0304575728082247
"Chr7S:111582582-111583046",259.686670617338,0.840266807271978,0.179427940610365,4.6830321097908,2.82662213748813e-06,0.0274889002870721
"Chr5L:1158322-1159073",352.063810611516,0.829506820085722,0.168157919119606,4.93290369212832,8.1016107087096e-07,0.0127174096269556
"Chr7S:100106755-100107381",289.056827337775,0.790095634396787,0.169725368732566,4.6551416579435,3.23758033413739e-06,0.0286391135100672
"Chr6L:140809255-140809630",180.008269663119,0.76191374506027,0.164222194474626,4.63952967805452,3.49202987063549e-06,0.0298185282368167
"Chr3L:135900006-135901125",623.001579712074,0.756624358744038,0.15815708033638,4.7840056046482,1.7183588899285e-06,0.0207447395642748
"Chr9_10L:136966037-136966982",453.93417122606,0.744367105852835,0.124296429815012,5.98864429944338,2.11597357181924e-09,0.000148160469498783
"Chr8L:133656717-133657282",255.779966886333,0.735405026562317,0.150816471445795,4.87615854894622,1.08171676311723e-06,0.0157795432819726
"Chr8S:102696837-102697259",318.63075993211,0.689084592557345,0.153367461241857,4.49302992289005,7.02169138818099e-06,0.0472748875961955
"Chr2S:28470140-28470698",575.025951359832,0.686928537236296,0.153117713481834,4.48627739806077,7.24783654699989e-06,0.047876746700088
"Chr4L:146601512-146602369",679.087626602878,0.680456536507282,0.12794300624203,5.31843479760093,1.04663713715542e-07,0.00281867432090855
"Chr1S:201637876-201639083",786.421249369776,0.659543341774104,0.113254600267827,5.82354571217769,5.76120468332442e-09,0.00033616629327198
"Chr7L:1692762-1693648",442.127129638163,0.59674635144031,0.125202849106792,4.76623619747915,1.87699206883062e-06,0.0211979007515355
"Chr1S:201068584-201070053",1170.18597600055,0.539324690663098,0.10807112324301,4.99046067514601,6.02354630811818e-07,0.0100421122022485
"Chr3L:149241571-149242346",712.80384076007,0.510540635028071,0.108142660523884,4.72099199848441,2.34697172698309e-06,0.0241669059299053
"Chr4L:7458100-7459606",718.625765766414,0.499619370130323,0.109901352512417,4.54607116935958,5.46565615362583e-06,0.0398651295705084
"Chr5L:95638714-95640204",904.007058880389,0.497000576410719,0.105511776612527,4.71038013354532,2.47255185507436e-06,0.0247325829846152
"Chr4S:132545538-132546163",1123.92492503395,0.466645274609705,0.100965886777801,4.62181128202901,3.80403994499951e-06,0.0304575728082247
"Chr1L:62425427-62426794",735.373932946518,0.46192714867955,0.102804442897958,4.4932605601302,7.01408770335434e-06,0.0472748875961955
"Chr5L:164478194-164479787",1509.93266503103,-0.414625353240879,0.0921327458339125,-4.50030387662953,6.78563871762972e-06,0.0472748875961955
"Chr7S:11408029-11409099",1236.60383615465,-0.48309676343399,0.103825783254454,-4.65295563675187,3.27210665639157e-06,0.0286391135100672
"Chr8S:87314950-87315641",578.816436777025,-0.559614924090781,0.120065905064998,-4.66089789426758,3.14832889838848e-06,0.0286391135100672
"Chr9_10S:1608838-1609568",813.953891172014,-0.587378766977285,0.114975074002578,-5.10874876205008,3.24299229911254e-07,0.00667865649364295
"Chr2S:30866847-30867790",982.403168040342,-0.595791322404633,0.13167852134901,-4.52459001134668,6.05126953709816e-06,0.0432357033660829
"Chr6S:6555519-6556063",408.180962282864,-0.614690637078176,0.127164196777002,-4.83383415031601,1.33928176422392e-06,0.0175664183750567
"Chr1L:209245548-209246719",489.112789659801,-0.615413562561241,0.137676944041657,-4.46998273273001,7.82259123486979e-06,0.0497943489332348
"Chr1L:229932339-229932811",438.279959306839,-0.642038775960998,0.139457535339842,-4.60382993573223,4.14791221908263e-06,0.0315692188674093
"Chr2S:121555055-121555544",457.766455069128,-0.644724650522106,0.144070635400394,-4.47505939520789,7.63900741789752e-06,0.0495262314260356
"Chr9_10S:70677089-70677595",318.62748018281,-0.684680016407898,0.140843087757922,-4.86129654857262,1.16619397560884e-06,0.0163313804344262
"Chr1L:20074732-20075468",348.610500106461,-0.712212493680718,0.149135221550574,-4.77561562101678,1.79158317303605e-06,0.0209077756293307
"Chr4L:11249488-11250071",388.05040652697,-0.733740415801258,0.152002577893026,-4.82715770990171,1.38495443899963e-06,0.0175664183750567
"Chr9_10L:121953879-121954614",392.768256242667,-0.734017639350757,0.121382155418214,-6.04716267248465,1.47418894047591e-09,0.000129028387015154
"Chr3L:149000073-149000555",452.385064588038,-0.750442265137504,0.146112448464695,-5.13605974729001,2.80558496325542e-07,0.00613897059772326
"Chr7S:109480564-109480996",340.363934556571,-0.767934494424062,0.164968168435111,-4.65504649599188,3.23907603319623e-06,0.0286391135100672
"Chr6L:159850318-159850843",281.612544316587,-0.812013602024599,0.160368327552989,-5.06342876062166,4.11782301932583e-07,0.00800916577258874
"Chr1S:3331858-3332423",287.302751878107,-0.813355794624432,0.149838262803361,-5.42822493672281,5.69172792072239e-08,0.00216870442950984
"Chr9_10L:3556389-3557040",505.968432967317,-0.872399182131945,0.188293994817255,-4.63317581093669,3.60098475795641e-06,0.0300167800895366
"Chr7L:11981864-11982245",192.736940954224,-0.880403540167152,0.165490947951904,-5.31994982845237,1.03795871893055e-07,0.00281867432090855
"Chr9_10S:34491261-34491637",212.942985087984,-0.899070604375408,0.17876650274702,-5.02930129839662,4.92270336925702e-07,0.00865050059923749
"Chr6L:20798906-20799432",316.548848689205,-0.914598274348261,0.198442925772873,-4.60887315980747,4.04857215884751e-06,0.0314978913958337
"Chr5L:165607174-165607519",175.406918456342,-0.929171299145733,0.192602043780681,-4.82430653853183,1.40491206655694e-06,0.0175664183750567
