"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Chr8S:95691301-95691526",87.1206374379494,1.62187168293173,0.317358816396267,5.11052978249892,3.21256660792513e-07,0.00937266307862156
"Chr4L:32238552-32238902",176.621110034649,1.22931451727488,0.255063008425521,4.81965034782317,1.43810041692909e-06,0.0264988924193093
"Chr9_10L:118215927-118216471",283.277237070114,1.19514853331209,0.182325723609948,6.55501873048307,5.56348931685554e-11,1.3816172096171e-05
"Chr9_10S:11934983-11935272",185.43588624832,1.16928493409646,0.237359742676743,4.92621419668831,8.38380914579897e-07,0.016306508788579
"Chr8S:71386815-71387024",632.750692836636,0.925371798102361,0.170245451491086,5.43551554533492,5.46382211933371e-08,0.00269257041979016
"Chr3L:37028518-37028731",397.169007827275,0.818968205953765,0.156151227404114,5.24471193450374,1.56526689060917e-07,0.00498181762183882
"Chr2S:166333876-166334325",334.287843035211,0.807112999895977,0.149654104785162,5.39318985640011,6.92177485807239e-08,0.00269257041979016
"Chr2L:185373095-185373579",261.286769896474,0.721954828256256,0.153837018315298,4.69298505757935,2.69247163590714e-06,0.0392764299887953
"Chr1S:12094084-12094425",312.112022857193,0.692995813842433,0.145860829988502,4.75107548679836,2.02337573591281e-06,0.0308356330987086
"Chr9_10L:43603154-43603997",354.845983095045,0.625886723847933,0.126166278089408,4.96080833425549,7.02004335413044e-07,0.0145102548591854
"Chr2S:166348383-166348632",506.68342453099,0.623742496826407,0.125752094676877,4.96009627854811,7.04582498160959e-07,0.0145102548591854
"Chr6S:18374529-18375228",415.171367059034,0.590365632752366,0.123325007344322,4.78707153938432,1.69232522344731e-06,0.0282134790823287
"Chr6S:40913225-40914832",815.083517576586,-0.521670837705309,0.109806088241287,-4.75083709893203,2.02576281425392e-06,0.0308356330987086
"Chr3L:140533863-140535455",1321.6645824618,-0.646222128013765,0.122285475424997,-5.28453707006375,1.26023029230659e-07,0.00441206625336536
"Chr6L:129657759-129658423",430.339984100697,-0.808622036945437,0.159758319785014,-5.06153318358378,4.15898333115086e-07,0.011200462032584
"Chr1S:3331858-3332423",287.302751878107,-0.811513523197903,0.150191403406181,-5.40319555443014,6.54640220841895e-08,0.00269257041979016
"Chr9_10L:6856116-6856715",302.164704441457,-0.811874270759712,0.161947541520096,-5.01319293358316,5.3534170060055e-07,0.0124948752920168
"Chr7S:104215025-104215705",547.359037566909,-0.899942941342989,0.178932933748893,-5.02949860871299,4.91764069520882e-07,0.0122976143385186
"Chr3L:149000073-149000555",452.385064588038,-0.938245866785978,0.147263369677666,-6.37121009005591,1.87542528020778e-10,2.18862130200248e-05
"Chr7L:68099431-68099947",290.194135903357,-1.15127930377374,0.240341861291088,-4.79017386979198,1.66636857263711e-06,0.0282134790823287
"Chr5S:138225834-138226281",172.09650600587,-1.16342523042819,0.178916065126962,-6.50263144118786,7.89270042626166e-11,1.3816172096171e-05
"Chr2S:43464109-43464391",111.051384268103,-1.20321545314011,0.196721000574166,-6.11635488650578,9.57399874899615e-10,6.70371392404711e-05
"Chr4S:129424865-129425175",265.375670403934,-1.24774252854526,0.203778324843974,-6.12303850029495,9.18074996915401e-10,6.70371392404711e-05
"Chr1S:27693837-27694083",91.0383236330291,-1.49974520164639,0.267216770689756,-5.61246660445434,1.9946271339715e-08,0.00116386493267237
